texts,Prediction
อีกหน่อยคงแบ่ง zone ตามเกรด แบบโซนการค้าหรือที่พักชั้นสูง ห้ามคนเกรดต่ำเข้า,neu
ใช้สอดแนมฝ่ายตรงข้ามได้ง่ายมากเลย แถมมีความเสี่ยงโดนเจาะระบบเข้าบ้านด้วย,neg
จีนยังเป็นคอมมิวนิตนะครับ แต่อนุญาติให้ถือทรัพย์สินส่วนตัวได้ มี internet ใช้ ผมถือว่าเป็นแนวบวก ต่างกับสหรัฐที่บอกว่าตัวเองมีเสรีภาพในการแสดงออก แต่พูดจริงโดนตำรวจถีบประตู มาจับตัวถึงหน้าจอคอมต่างกันเยอะ,neu
วิธีการใช้เทคโนโลยีกับวิธีการป้องกันการใช้ผิดประเภทพอเข้าใจได้นะ แต่คงจะตกม้าตายที่ย่อหน้าสุดท้าย,neu
"ทำไมผมกลับมองว่าเป็นการ""พยายามควบคุมและจำกัดสิทธิประชากร""ทางอ้อมโดยเริ่มต้นจากผู้มีรายได้น้อยก่อน(เพราะไม่ค่อยมีสิทธิมีเสียงอะไร) โดยเป็นขั้นตอนนำร่องให้ AI ได้เรียนรู้ไปก่อน",neg
แนว the quiet place เปลี่ยนจากการห้ามส่งเสียงเป็นการห้ามมองแทน มีแฟลชแบ็คเหมือนซีรีย์ส lost,neu
ให้ 5/10 ทนดูจนจบเพราะอยากรู้ว่ามันเกิดอะไรขึ้น? แถมตอนจบยังฮา ไว้ตอบคำถามพวกซนๆ ตั้งคำถามแบบกวนๆ ทำนองนั้น,neu
เราก็เป็นหนึ่งในนั้นสินะ ตัวหนังสนุกดี ลุ้นไปได้เรื่อยๆ เล่นกับความรู้สึกคนดูได้ดีอยู่นะ,neu
ก็ไม่แปลก โปรโมตหนักมาก ๆ ลองดูเมื่อวานจนจบแล้วรู้สึกเสียดายเวลา ค้างคาและไร้ความสมเหตุสมผล,neg
มื่อเทียบกับ The Quiet Place แล้ว ส่วนตัวผมรู้สึกว่า Bird Box สนุกกว่า น่าจะเป็นเพราะพลังจาก Sandra ด้วยล่ะมั้ง แต่ว่าเนื้อหามีแต่ปมที่ค้างคา ที่ไม่มีคำตอบเฉลยออกมา เลยทำให้เกิดความรู้สึกเหมือนเป็นหนังที่ตามดูชีวิตของ Marlorie แบบไม่ต้องสนใจว่าเรื่องต่างๆ มันเป็นเพราะอะไร ว่าจะไปหาหนังสืออ่านอยู่ล่ะ,neu
เห็นด้วยแต่ต้องมาคิดว่าจะเก็บยังไง,pos
ผมเชื่อว่าภาษีเหล่านี้ควรจะต้องจัดเก็บนะ อยากจะรอดูว่าประเทศอื่น ๆ เขาจะเริ่มยังไง บ้านเราก็อย่าให้ช้าล่ะ,neu
"ประเทศไทยนี่เห็นมีความพยายามจะเก็บภาษีจาก Facebook , LINE ให้ได้มากขึ้น ไม่รู้ว่าความคืบหน้าเป็นยังไงบ้าง",neg
เห็นด้วยนะที่จะเก็บภาษีบริษัทต่างชาติที่ให้บริการในประเทศอื่นเนี่ย รัฐฯจะได้รายได้เข้าประเทศบ้าง ไม่ใช่ให้ใครไม่รู้ดูดเงินออกอย่างเดียว,neu
"หาเงินแข่งไม่ได้ก็เก็บภาษีแทนแล้วกัน ทศวรรษนี้ฝั่งยุโรปพ่ายแพ้อเมริกาอย่างหมดรูปในตลาด consumer ไม่ว่าจะเป็น Google, Facebook, Netflix, YouTube, iOS, Android, OSX, Windows แล้วก็ไม่รู้สถานการณ์ด้าน e-commerce ว่าเป็นอย่างไร ไม่รู้ว่าโดนจีนกับ Amazon ตีกระหน่ำจนแตกพ่ายไปหรือยัง ส่วนตัวผมคิดว่าการเก็บภาษี online พวกนี้เป็นอะไรที่ยากและซับซ้อนมาก สมมติว่า YouTube มีโฆษณาจาก agency ""ต่างประเทศ"" ไปวางโฆษณาบน video ที่ content มาจากอีกประเทศ แล้วมีคนไทยไปดู video นี้ YouTube ได้เงินจากโฆษณา agency เพราะมีคนมาดู agency ต่างประเทศจ่ายเงินให้ YouTube เป็นผู้รับเงินได้ แล้วจะต้องเสียภาษีให้ประเทศไทย ? ผมเองก็ยังนึกไม่ออกว่าจะเก็บเงินอย่างไร สมเหตุสมผลไหม เพราะในเมื่อคนไทยก็ได้เสพ content ฟรีเป็นการแลกเปลี่ยนไปแล้ว เงินได้รายรับรายจ่ายทางบัญชีก็เกิดจากประเทศอื่น มันไม่เหมือนทีวีที่รับเงินจากเจ้าของโฆษณาภายในประเทศชัดเจน",neg
สวยดี,pos
ถ้าแถมน้ำหอมกับกระเป๋ามานี้ ครบเครื่องเลย,pos
สวยกว่า Apple Watch เยอะ,pos
นี่แหละต้องสาธุ 99 เทคโนโลยีไม่ผิด คนใช้มันในทางที่ผิดนั่นแหละที่ผิด!?!,neu
ทำไมบ้านเรา สมาชิกสภา ไม่มีแบบนี้,neu
สร้างสรรค์มาก,pos
แก้ปัญหา Filezilla Client มี Trojan แถมมาให้ด้วยเป็นเรื่องแรกเลย,pos
เหอะๆ ทำไมมันคล้ายกับว่าจะปิดหูปิดตาประชาชนจากความไม่พอใจในรัฐบาลมากกว่า,neu
ถ้าปิดจริงแล้วยังแพ้ จะสะใจมากครับ,neu
ยุคนี้ทำอะไรโจ่งแจ้งไม่ได้แล้วมั้งนะ ขายหน้าคนเขาไปทั่วโลก,neu
ผมเช็ครอบล่าสุดกับบัญชีที่ผูกไว้ ใน K PLUS เองก็ยังไม่มีแจ้งว่าผูกอะไรไว้บ้าง (หรือผมหาไม่เจอเอง?) ไม่ต้องไปถึงการยกเลิกการผูกที่ควรทำได้จากในแอปเลย,neu
ผมไม่เคยคิดจะใช้ APP ของธนาคารผ่านโทรศัพท์ เหตุเพราะ มันทำธุรกรรมง่ายเกินไป,neu
ระบบมีให้ยืนยัน และเจ้าของบัญชีตอบรับไปเอง .... ทำไมไม่อ่าน และคิดซะหน่อย ว่าให้ยืนยันเรื่องอะไร เราทำรายการนี้จริงหรือไม่,neg
App เครือ CP อีกละเหรอ บ่อยเนาะ,neg
ไม่ได้ใช้ kbank นะครับ อาศัยอ่านเอาผิดถูกยังไงขออภัยนะครับ ผมไม่โทษ 3rd party นะครับ ผิดเต็มๆคือ kbank ที่ไป trust 3rd party คือตัวเองเป็นธนาคารแต่ไม่รอบคอบ ทรูมารีเควสขอเชื่อมต่อตัดตรงได้เลยหรอและ Trust มันขนาดนั้นเลยหรือไง มันควรออกแบบให้เวลาจะขอเชื่อมต่อ ต่างฝ่ายต้องกรอก key กันเองไหม ทรูก็ต้องกรอกคีย์ที่อนุญาตจากเคแบ้งค์ เคแบ้งก็ก็ต้องกรอกคีย์ที่ได้จากทรูอะไรงี้ ไม่ใช่แค่ทรูขอเชื่อมมาอนุญาตเลย หลักฐานหรือใบสัครก็ยอมรับจากทรูเลย คือเห้ยคุณเป็นธนาคารนะเว้ย ไปยอมรับจากค่ายมือถือที่เปิดเบอร์ก็ไม่ตรวจสอบบัตรให้ตรงจนมีเรื่องมีราวมาเนี่ยนะ ความปลอดภัยอยู่ไหน และตอนยกเลิกอีกขึ้นกับบริษัทปลายทาง... คือควรจะยกเลิกผ่านแอพมือถือได้เองเลยไหม รู้สึกแย่กับมาตรฐานธนาคาร,neg
ดีครับ รัฐบาลชุดหน้าจะได้เข้าถึง สนช.และทีมรัฐบาลชุดนี้ได้ในภายภาคหน้า,neu
สุดยอด!! อยู่ที่บ้านก็ได้ล่ามโซ่ตรวนกันทุกคน ขอบคุณครับพี่/ลุง,neu
เพราะใกล้เลือกตั้งรึเปล่า อะไรหลายๆอย่าง เลยผ่านออกมาอย่างง่ายๆ,neu
ภาพหัวข้อข่าวมันต้องขึ้นเป็นของ Tesla รึเปล่า,neu
อาจได้เห็น Oracle Linux หรือ Solaris รันบนระบบควบคุมและจอสัมผัสรถ Tesla แน่ๆ ส่วนโรงงาน น่าจะใช้ Oracle Database อยู่แล้,neu
เมื่อ CEO สายบันเทิง กับ Chairman สายบันเทิง อะไรจะเกิดขึ้น?,neu
สงสัยต้องปัดฝุ่นความรู้ Java อืกครั้ง มันเช็ต environment ยังไงหว่าลืมหมดแล้ว :),neu
นิสัยคล้ายๆกับ elon musk มั๊ย,neu
30% เพื่อแค่ฝากแอพสำหรับค่ายใหญ่คงไม่คุ้มมากๆเลย,neu
ลองลง Epic game store แทนดูครับ ส่วนแบ่งแค่ 12% เอง #ผิด,neg
Apple ยอมเหรอ,neu
ดิวปกติจริงๆ แล้วมันควรจะเป็นระบบขั้นบันไดหรือเปล่า? ฟังๆ ดูแล้วระบบปัจุบันมันไม่ค่อยแฟร์สำหรับทุกฝ่ายจนต้องแก้ปัญหาแบบสุดขั่ว,neg
มันน่าจะมีกึ่งกลางปะ เพราะไปใช้ platform เขาหารายได้เหมือนกัน,neu
Apple เสียเปรียบเห็นๆ เพราะผมจะเข้าดู Netflix ผ่าน browser ก็ยังได้,neg
ไม่ได้ดู netflix มานานพอจะต่ออายัทีเข้าหน้าเว็บเลยงงเลย,neg
Filipino Channel Online มีคนตาม 10.4 รายต้องเป็น 10.4ล้านรายหรือเปล่า,neu
ช่วยมาแบนในไทยด้วยเถอะ ขอร้อง,neu
ประเศอื่น --> ประเทศอื่น,neu
ใครลงทุนอยู่ เก็บเงินสดไว้ให้ดีครับ จะขยายวงไปถึงขั้นรบกันผ่านตัวแทนสหรัฐที่ไต้หวันไหมเอ่ย,neu
วันถัดไปจีนจับอดีตฑูตอียู,neu
ทีเอ็งข้าไม่ว่า ทีข้าเอ็งอย่าโวย,neu
รู้สึกว่า Poland ไม่ได้เป็นพันธมิตรกับสหรัฐฯ หรือเปล่า น่าจะไม่มีปัญหาเหมือน Canada ที่กลายเป็นเหยื่อล่อของสหรัฐฯ ให้กับทางการจีนไปแล้ว,neu
ซูก้าบิลเลียดด จับสายลับที่เจอในโปแลนด์ เมืองหลวงชองชนชาติสลาวิกเหนือเนี่ยนะ คนแถวนั้นมันมีคนที่ไม่ได้เป็นสายลับ ด้วยเหลอครับ ? พูดเป็นเล่นไปได้,neu
ฝ่ายขายไม่ใช่เครือญาติ,neu
ใครทำอะไรจีนก็ว่าอเมริกาอยู่เบื้องหลังหมด เหมือนกะลาแลนด์ที่โดนแม้วซื้อไปแล้วทั้งจักรวาล แต่ตัวเองรอดเป็นพระเอกแถมมีเวลาว่าแต่งมาเพลงทั้งอัลบั้ม...,neg
เป็นหัวหน้าฝ่ายขายน่าจะยุ่งและเครียดมากแล้วยังจะเป็นสายลับอีกหรอครับเนี่ย,neu
รุ่นเก่าก็ขายไม่ค่อยออกจะออกอีกแล้ว,neg
หลือแค่ตั้งราคาเลยแต่ไลน์สินค้ามาแบบนี้มีแววโดนด่าไว้ก่อนละ,neg
ต้องยอมลดกำไร ไม่งั้นลูกค้าก็จะลดการซื้อแทน ปีนี้คงยอดหายไปเยอะ ตลาดใหญ่อันดับที่ 2 อย่างจีนกระทบหนัก เจอสงครามการค้าเข้าไป จีนเขาก็ชาตินิยมเยอะอยู่ (+รัฐหนุนทั้งทางตรงและอ้อม),neg
อ่านแว้บแรกเข้าใจว่าออกเฉพาะจอ 6.5 3รุ่น ถ้าสลับตำแหน่งจะเข้าใจง่ายกว่าไหมครับ ออก 3 รุ่น - ได้กล้องหลัง 3 ตัว เฉพาะรุ่นจอ 6.5,neu
แสดงว่าปีนี้ Pixel 4 จะได้เป็นแชมป์มือถือกล้องหลังตัวเดียวชัวร์ๆแล้ว,neu
อ่านแบบนี้ถ้าเป็นจริงเดาเลยว่า xr2 จะขายราคาเท่าเดิม ไม่ลดราคาแน่นอน xs ก็คงเท่าเดิม แสดงว่า line สินค้าจะเหมือนเดิม เพิ่มเติมคือยอมเพิ่มกล้องให้รุ่นล่าง ก็ถือเป็นกลยุทธ์​ที่ดี ดีกว่าลดราคา ไปเพิ่ม utility แทน,neg
พิ่มความหนาเครื่องบ้างก็ได้ ไม่ใช่ทุกคนจะอยากได้บางๆหรอก -_- ปล.ถ้า design ที่หลุดเป็นของจริง เป็นยุคของจ๊อบนี่โดนด่าเละไปแล้วละ -_-,neg
บอดี้เดิมยันชาติหน้า,neu
อยากรู้ว่ามี ฟีเจอร์อะไรว้าว ๆ บ้างในรอบนี้,neu
iPhone รุ่นใหม่ 3 กล้อง ราคา 150k,neu
ถ้ายังมีรอยบากอยู่ก็คงไม่ ว้าวเหมือนเดิม,neg
พัฒนาไม่ทันฝั่งแอนดรอยด์,neg
CPU&GPU ทิ้งขาดอย่างน้อย 1 generation แต่ถ้า benchmark ที่พิจารณาแบบองค์รวม Android ใกล้จะตามทันแล้ว เพราะยัดแรมมหาศาลมาทดแทน,neg
"CPU แรงกว่าทั้งที่ตัวระบบไม่ได้จำเป็นต้องใช้เยอะขนาดนั้นเพื่อให้ลื่น (สังเกตเอาจากพวกรุ่นเก่าๆ เช่น 6,6s ที่อัพแล้วยังลื่นอยู่) แล้วจะแรงไปทำไมล่ะครับอีกอย่างเรื่อง OS มีส่วนดีกว่าผมก็คาดหวังนะตอนถอย iPad 2018 มา มันดีกว่าแค่เรื่อง Multitasking อะ (ยิ่งไม่ใช่ iPad คือไม่นับเป็นข้อดี) แอพเด้งแอพค้างเจอบ่อยกว่าแอนดรอยด์อีก",neg
อันนั้นผมรู้ครับ แต่ที่จะสื่อคือไหนๆตัว OS มันก็กินทรัพยากรไม่ได้เยอะอะไรอยู่แล้ว แทนที่จะเอาแต่เพิ่มความแรง CPU ที่มันเกินหน้าเกินตาแอนดรอยด์ และความต้องการของระบบไปไกลแล้ว มาพัฒนาเรื่องอื่นเกี่ยวกับตัวระบบดีกว่า แก้เรื่องแอพเด้งแอพค้างแบบที่ผมบอกก็ยังดี,neg
ขนาดผมใช้ iPhone 4S หลังจบมหาลัยตอนปี 58 เป็นเครื่องมือสองด้วย ยังใช้ได้ดีมาถึง 2 ปี ขนาดตกรุ่นไปหลายปีแล้วนะ ยังลื่นอยู่เลย จนมาเปลี่ยนเป็น 6S Plus ปีที่แล้ว ผมว่าต่อให้ HW ล้าหลัง แต่ OS สามารถใช้งาน HW ได้เต็มประสิทธิภาพและกินทรัพยากรน้อยนี่ ผมยอมรับในตัว iOS เลยนะ ส่วนเรื่อง Customize ก็เป็น Android ไป,pos
เทียบกับ Pixel 3 นี่ผมว่า iPhone ถ้าไม่ติดเรื่อง OS ก็พอจะแพ้ได้นะครับ,neu
เหมือนกำลังนั่งดู ไทม์ไลน์ Nokia อีกครั้ง,neu
XIr มี 2 กล้อง มองว่าเป็นการทำให้ Xl นั้นขายได้น้อยกว่า ราคาก็ต่างละ ส่วน Xl Max นี่ก็คงยอดขายคงที่,neg
รุ่นถัดไปควรยุบเหลือ 2 รุ่น คือตัวแทน Xs Max กับตัวแทน Xr.,neu
ถ้ามาไทยก็ผิดกฎหมายนะเนี่ย ไม่แจ้งราคา ปุ่มรุ่นต่อไปคงต้องมีหน้าจอแสดงราคา E-Ink จะได้อัพเดตราคาได้ตลอด,neu
LCD เปลืองแบตครับ ส่วน E-Ink ใช้ไฟแค่กระตุ้นเปลี่ยนข้อความ แล้วก็ค้างข้อความไว้ได้เลย ไม่ต้องใช้ไฟ Amazon เองก็ชำนาญเรื่อง E-Ink อยู่แล้วจาก Amazon Kindle,neu
มี QR เป็น url ไปเช็คราคาปัจจุบันได้ก็ยังดี,neu
แค่ออก Amazon Dash แบบมีหน้าจอ LED บอกราคาจาก Amazon ได้ ปัญหาฟ้องร้องก็จบแล้วครับ,neu
กดแล้วไปแสดงราคากับรายละเอียดที่มือถือ แล้วให้ก็กดยืนยันการสั่งซื้อ,neu
แหม ก็ญาติกันทั้งนั้น ครอบครัวเดียวกัน,neg
แข่งกันเยอะๆแข่งกันพัฒนาดีแล้วๆ แล้วก็ลดราคาแข่งกันด้วยตัวท๊อปๆราคาอย่าเกิน 20k เลยแค่นี้ก็เป็นบุญละ,pos
ค่ายแดงช่วงหลังไม่เคยได้ใช้งานเพราะราคาโดนเหมืองปั่นไปไกล ปีนี้ถ้ามาราคาไม่แพงมากจะปันใจซื้อมาใช้งานดู,neu
Heat Circle GPU จะเจ๋งก็ไหนก็ไม่ใช้ เข็ด,neg
นึกถึง BenQ Joybook S41 ที่มีปัญหาจากการ์ดจอ จนทำให้ BenQ เลิกผลิตโน้ตบุ๊คไปเลย หลายคนใช้ไม่กี่เดือนก็เสียต้องเคลมกันวุ่นวาย น่าจะขาดทุนไปเยอะ เพราะขายดีมากๆ โชคดีที่ผมซื้อ BenQ Joybook S42 รุ่นนี้ไม่มีปัญหาการ์ดจอ ซื้อตอนออกใหม่ๆ ของขาดตลาดมาก เหลือเครื่องสุดท้ายในห้าง ผ่านมาสิบปี ทุกวันนี้น้องผมก็ยังใช้ได้ปกติ,neg
ประสิทธิภาพ Ray Tracing เอามาใช้งานจริง มันอืดนี่ มีไว้แค่เท่ๆ เองตอนนี้,neg
แข่งขันกันพัฒนาสินค้าออกมาขายนะ เป็นเรื่องที่ดี แต่การพูดจาเชิงดูถูก ปากดี เอาแต่ใจ เห็นแก่ตัว และข่มคู่แข่งแบบนี้ ผมว่าพาลพาคนเกลียด CEO และตัว Brand ที่ตนเองดูแลอยู่นะ ไม่ชอบการพูดใส่กันแบบนี้ กลายเป็นก่อสงครามกับพวก Fanboy ที่เละอยู่แล้วเพิ่มขึ้นอีก ไม่ได้ต่างอะไรกับการทะเลาะวิวาทเลย ปล. หวังว่า AMD จะกลับมาอย่างสมศักดิ์ศรีที่คนรอคอยนะ แต่ถ้าเป็นไปได้ อย่ากอสงครามน้ำลายเลย พอกันทั้งคู่ เสียทั้งเวลาและอารมณ์นะ พาลกระทบผู้ถือหุ้นด้วย,neu
ATI สู้เขานะครับ,neu
"พูดถึง AMD ตอนนี้ผมเริ่มกังวลกับ Navi นะ เพราะว่าตอนนี้ AMD ยังคงขายของเก่าอยู่เรื่อย ๆ ทั้ง Polaris (RX480, 580, 590) และ Vega (56, 64, VII) ยังไม่มีที่ท่าจะเปิดเผยอะไรเกี่ยวกับ Navi ซะที หรือว่าส่งวิศวกรไปสำรวจดาวนั้นอยู่ก็ไม่รู้ เอาจริง ๆ ผมจะแปลกใจมากถ้า Navi ออกมากลางปี/ปลายปีนี้ตามแผน แล้วดันรองรับ DXR ด้วย :D",neu
และ Su ก็เป็นหลานของ Huang ด้วย :o,neu
สงสัยมานานละ CEO บริษัทคู่แข่งกันเค้าไปดินเนอร์กันได้ไหม,neu
อีกหน่อยก็เอาเครื่องผสมมาตั้งแบบ TOA อยากได้สีไหน เดี๋ยวผสมสด ๆ ขายเป็นถังเลย,pos
อาจได้ร่วมมือกับ Razer ก็เป็นได้ กลายเป็นเครื่องพิมพ์สี RGB บนใบหน้าทันที,neu
Photoshop in real life,neu
ดีครับ ขี้เกียจเถียงกับแฟนเรื่องหน้าเทา,neu
ขายรึยัง!!!,neu
ใส่ RGB เข้าไปแปะคำว่า Razer อยากได้เฉ้ย แต่ฐานใหญ่ไปหน่อย,neu
จะพังง่ายเหมือน Ranger Raptor ไหม :P,neu
อยากได้ หวังว่าราคาจะไม่แรงเกินไป,neu
สวยแฮะ,pos
"อารมณ์เหมือนเครื่องบินพาณิชย์โดนยิงตกเพราะไปบินในน่านฟ้าที่เค้ากำลังรบกัน แต่เผอิญว่าเค้ารบกันทุกน่านฟ้าจะบินยังไงก็มีโอกาสโดนสอยหมด แบบนี้เลิกทำประกันแล้วเอาตังไปจ้าง ""บอดี้การ์ด"" เจ๋งๆ อาจจะดีกว่า",neg
ผมว่าวิธีนี้แหละที่ทำให้บริษัทประกันมีกำไรมหาศาล ไม่บอกรายละเอียดที่ควรทราบให้ลูกค้าก่อนทำประกัน หรือยกเลิกโดยอ้างเหตุผลที่ไม่อยู่ในเอกสารหรือข้อตกลง เหมือนทำนาบนหลังคนจริงๆ,neu
ไม่ถูกนะครับ น้ำท่วมเราจ่ายหมด แต่ตอนนี้ไม่รับภัยน้ำท่วมแล้วเหลือความคุ้มครองแค่หลักหมื่น,neg
ตอนชุมนุม รถผมโดนทุบในพื้นที่ ประกันก็ไม่จ่าย ซ่อมและทำสีเองไปแสนกว่าบาทครับ T-T,neg
สงสัยมีแต่ผมมั้งที่คิดว่า ZAIC ไม่ควรจ่าย และไม่จำเป็นต้องอ้างว่าเป็นสงครามด้วย เพราะช่องโหว่หลักๆ ที่ใช้คือ EternalBlue และ EternalRomance ที่ MS ออกแพตช์ให้ตั้งแต่เดือนมีนาคม 2017 แถมออกให้ Windows XP ที่ ณ วันที่ออกก็หมดอายุซัพพอร์ตไปแล้วด้วย และ WannaCry ก็ใช้ช่องโหว่ที่ว่าในตอนกลางเดือนพฤษภาคม 2017 (ถ้าจำไม่ผิดคือวันที่ 12 พ.ค. 2017) และข่าวการโจมตีของ WannaCry นี่ก็ดังจนคนทั่วไปบางคนยังรู้ (ส่วนคนสาย IT นี่คงจะน้อยมากที่ไม่รู้) ซึ่งถ้าทีมที่ดูแลเรื่องความมั่นคงทาง IT ของ บ. Mondelez International ไม่ห่วยแตกแบบนี้ก็คงจะไม่โดน NotPetya โจมตีหรอกครับ,neg
สงสัยมีแต่ผมมั้งที่คิดว่า ZAIC ไม่ควรจ่าย และไม่จำเป็นต้องอ้างว่าเป็นสงครามด้วย เพราะช่องโหว่หลักๆ ที่ใช้คือ EternalBlue และ EternalRomance ที่ MS ออกแพตช์ให้ตั้งแต่เดือนมีนาคม 2017 แถมออกให้ Windows XP ที่ ณ วันที่ออกก็หมดอายุซัพพอร์ตไปแล้วด้วย และ WannaCry ก็ใช้ช่องโหว่ที่ว่าในตอนกลางเดือนพฤษภาคม 2017 (ถ้าจำไม่ผิดคือวันที่ 12 พ.ค. 2017) และข่าวการโจมตีของ WannaCry นี่ก็ดังจนคนทั่วไปบางคนยังรู้ (ส่วนคนสาย IT นี่คงจะน้อยมากที่ไม่รู้) ซึ่งถ้าทีมที่ดูแลเรื่องความมั่นคงทาง IT ของ บ. Mondelez International ไม่ห่วยแตกแบบนี้ก็คงจะไม่โดน NotPetya โจมตีหรอกครับ,neg
"ต้องให้ศาลตีความแหละครับว่ามันคือ ""act of war"" จริงไหม",neu
เป็นสงคราม แต่ต้องจำกัดเฉพาะคู่สงครามรึป่าว แต่ถ้ามองว่าอินเตอเน็ทไม่มีขอบเขต แบบนี้ก็อ้างได้หมดว่าคือสงคราม แบบนี้จะมีประกันระบบคอมพิวเตอร์ไว้ทำไมครัช ผมว่าศาลไม่น่าจะตีความเป็นผลร้ายแก่ผู้เอาประกันขนาดนั้น,neg
นึกถึงเคสไฟไหม้ห้างแถวๆนี้ ที่สู้กันเรื่องว่าเป็นการก่อการร้ายเลยไม่ต้องจ่ายสินไหมทดแทน.... ในเงื่อนไขต้องเขียน definitionให้ครบถ้วนล่ะนะ นิยามต้องตรงกัน act of war รวมถึงสงครามที่ไม่มีการประกาศสงครามอย่างเป็นทางการด้วยหรือไม่? ถ้าไม่มีการประกาศสครามจะใช้อะไรพิสูจน์ว่าเป็นสงคราม?,neu
รั้วไฟฟ้าเดี๋ยวโดนข้อหากระทำการใดให้ผู้อื่นถึงแก่ความตายอีกครับ,neg
ตอนนั้นก็เห็นรูปลงว่ามีรปภ.ในห้างหลักร้อยคนล่ะครับ แต่ทำไม.. ที่สำคัญคดีวางเพลิงยกฟ้องหมดแล้ว(เฉพาะห้างนะ) แต่สุดท้ายบ.ประกันชนะ(จากตอนแรกที่ผู้เอาสินไหมชนะ แต่พอกระบวนการมาถึงอุทธรณ์ พิพากษากลับและยกฎีกา) แต่เคสนี้มีทำประกันภัยก่อการร้ายไว้ด้วย ก็ได้ชดเชยจากส่วนนั้นแทน แต่วงเงินน้อยกว่าประกันภัยปกติเหลือแค่1/3 เลยทีเดียว,neg
ตอนนั้นก็มีภาพรปภ.ติดอาวุธครับ ถ้าปะทะกันป้องกันคนธรรมดาได้แน่นอน แต่ก็นั่นแหละก็สู้มืออาชีพพร้อมอาวุธหนักไม่ได้หรอก ที่จะบอกคือมันมีเงื่อนงำหลายอย่าง ทั้งรปภ.ก็อยู่กันหลายร้อยคนจนก่อนเกิดเหตุไม่กี่ชั่วโมงแล้วค่อยถอนตัว สุดท้ายจนยกฟ้องคดีวางเพลิงไปหมดนั่นแหละ ที่งงๆกันคือเรื่องนิยามการก่อการร้าย ซึ่งทำให้ศาลพิพากษากลับ มีข้อสังเกตหลายเรื่อง(ทั้งรอบหลังเกิดหลังรปห.) แต่ก็ถือว่าเป็นเรื่องคล้ายๆกับในข่าวนี้เช่นกันถึงนิยามในเรื่องร้ายแรง,neg
ขอเห็นต่างนิดนึงครับ เมื่อก่อนมีการชุมนุม S-Class Guard กระจกยังโดนทุบแตกเลยครับ คือ กระจกกันกระสุนมีไว้ติดรถเพื่อให้หนี ไม่ใช่สู้ ถ้าโดนซ้ำๆ ก็ไม่รอด,neu
ถึงจะผิดหลักการตั้งเลข version ก้เถอะ แต่สุดท้ายสิทธิ์ในการตั้งเลข version ก็เป็นที่เจ้าของงาน หรือผู้ที่มีอำนาจสูงสุดนั้นแหละ 5555,neg
ในที่สุด,neu
แต่ MPC + K-lite Codec ยังดีที่สุดสำหรับผมนะ,pos
vlc ไว้โหลด subtitle แต่พวกการควบคุม ปุ่มต่างๆ จะใช้ mpc-be สะดวกกว่า,neg
แกอายุย่างเข้า 50 มั้งครับ,neu
อือหือ รุป ตกใจ,neu
รูปประกอบเลือกได้เข้ากับลุงแกดีครับ 555 ส่วน 5.0 นี่มาจากอายุย่างเข้า 50 แล้วมั้ง,neg
ทำไมเหตุผลคุ้นๆ,neg
ไหนเฮียว่าจะใจเย็นลงแล้วงายยย,neg
มีใครไป commit รัวๆ ก่อนวันรวม package ใหญ่อีกหรือเปล่า ? ดูรมบ่จอย รมบ่จอย โอ๊ยยย,neu
เมื่อเมื่อก่อนนี่ 0.99 0.99a ... 0.99z กว่าจะขึ้นเวอร์ชั่น 1.0 ได้ ลากไปหลายปี,neg
ให้ 4.20 อยู่ต่อไป แล้วข้ามไป 5.0,neu
"สักหน่อยก็ ver. 20 , 22 ไหลเร็วขึ้นเหมือน Chrome ^_^",neu
ก็ไม่มีอะไรเป็นพิเศษจริงๆ 5555 เวอร์ชั่นออกตามช่วงเวลาปกติ ใน community เองคาดการกันซักพักแล้วว่า 4.20 คงจะขึ้นเลขเป็น 5.0 ไปเลย (อยู่ที่ไลนัสตัดสินใจ) แต่สุดท้ายก็ไม่ได้เปลื่ยน เลื่อนมาเปลื่ยน 4.21 -> 5.0 แทน XD,neg
พอเอาคำว่า Omegle ใส่ google เจอไส้กรอกเข้าเต็มตา สำลักกาแฟเลยตรู Orz,neg
ตอนนี้ลอง keyword แล้วใน Bing ขึ้นว่า No result แล้วนะ หายห่วงได้เลย,pos
สนใจแนว family nudist มากกว่า เด็กผู้ชาย กับสาวผู้ใหญ่,neu
หลังจากข่าวนี้ ยอดใช้ Bing มีแนวโน้มสูงขึ้น,neu
จำได้ว่าเคยมีข่าวว่าไมโครซอฟท์มีระบบค้นหาภาพอนาจารเด็ก,neu
ผมเห็นด้วยเลยจากแนวทางหลังๆของ Activision หวังว่า Blizzard จะออกตามไปถ้าสัญญาหมด,neg
ตอนนี้เปลี่ยนวิธีการจ่ายเงินเล่นเป็นแบบ Annual Pass แทน ซึ่งประหยัดกว่าเดิม และเหมาะกับแนวการเล่นกว่าแบบซื้อเป็น DLC แบบเก่า,neg
