Human,texts,Prediction
neu,ของ notebook ผมว่าทำแบบนี้มันโอเคนะ ไอ้ติ่งที่ยื่นออกมา หลาย ๆ รุ่นก็มีอยู่แล้ว ที่เป็นที่ให้ดึงจอเปิดขึ้นมา เพิ่มขนาดอีกนิด ก็ไม่น่าเป็นอะไร ทำให้เปิดง่ายขึ้นซะอีก,neg
neg,ห้ามตก ห้ามกระแทก ตั้งโต๊ะไว้อย่างเดียวเลย ถนอมยิ่งกว่าเมียอีก ทำแบบนี้,neg
neg,ไม่สวยเลย เหมือนมีอะไรยื่นออกมา,neu
neg,เอาน่า ดีกว่าจอแหว่ง ปล. ผมว่าจอโน้ตบุ๊ก​นี่น่าทำติ่งหยดน้ำไม่ก็ infinity-O มากเลย กินที่นิดเดียวเอง,neg
neu,chamfer ตรง Touchpad น่าจะเข้าท่ามากกว่า ไม่เหมือนอันอื่นที่ fillet ด้วย,neu
neg,ยังหาเอกลักษณ์ ที่จดจำไม่ได้เลย อันที่เคยทำดีอยู่แล้วก็ตัดออกไป เหมือนสุ่มๆดูตลาดยังไงแฮะ,neu
pos,แต่ถูกใจผมอยู่นะ แต่อยากได้ refresh rate >60 แถมแบตอึตหรือไม่ก็ติดแฟงโซล่าเซลที่ผาหลังไปเลย จะโดนใจมาก,pos
neg,รูปทรงที่ถวิลหา แต่บางไปหน่อย ผมเป็นคนมือหนักซะด้วย,neu
neu,ถ้า Sony มาด้วยละก็นะ รองรับทั้ง Chromecast Airplay ตัวเดียวจบครบเครื่อง,neu
neu,win win ทั้งคู่ ดีเลย,pos
neu,แสดงว่าหาทางขยายให้ซื้อ service จาก itune มาโปะยอดขายมือถือสินะ,neu
neu,มือถือขายไม่ดี หาทางเพิ่มรายได้แปป,neu
neu,อนาคตจะกลายพันธุ์เป็น Apple is Service มั้ยนะ,neu
neu,ดูหนังจะกระตุกไหม เมื่อมี OS เวอร์ชั่นใหม่ ?,neu
pos,มาราคานี้ ดูน่าซื้อขึ้นมาเลย,pos
pos,ตัวนี้ๆๆๆๆๆ ราคานี้ค่อยยังชั่ว,neu
neu,บอร์ด​จะพังแบบรุ่น​พี่​ ๆ​ ไหมเนี่ย,neu
pos,อูยยยยยยยย เเถม Anthem ด้วยยยยยยยยยยยย,neu
neu,ราคารับได้ แต่เปิด ray แล้วจะใช้งานได้จริงหรือเปล่าค่อยว่ากัน,neu
neu,รุ่นใหญ่เปิดแล้วไม่ถึง 60 รุ่นนี้คงเหลือไม่ถึง 30,neu
neu,ราคาประมาณนี้จะได้ฉุดราคาพวก 10x0 ในตลาดได้หน่อย,neu
pos,แถมเกม Anthem !! เกมราคาเกือบ 2 พัน ต้องจัดๆๆๆๆ (หรือรอพวกขายคีย์ดี),pos
neu,หวังว่าจะได้การ์ดจอมาใช้รันงานถูกๆ หน่อย,neu
neg,เปิด Ray Tracing ได้ แต่ไม่รับประกัน frame rate ใช่ไหม เล่นแบบกระตุกๆ,neg
neu,นึกถึงปุ่ม Turbo สมัย FC เลย,pos
neu,"ฝ่ายหนึ่งต้องการปกป้องสิทธิ์ในตัวสินค้า ผลงาน และลิขสิทธิ์ของตนเอง อีกฝ่ายก็ต้องการความสะดวกสบายและเล่นเกมสนุกๆ เชื่อในอิสระและสิทธิ์ในการดัดแปลงแก้ไขใช้งานด้วยตัวเอง ผมว่าไม่มีคำว่าจบครับ ถ้าคนยังต้องการซะอย่าง กฎแบบนี้ออกมา พวก Trainer Mod, เกมดัดแปลง, Model Mod หรือแม้แต่ Fan-made Mission ก็เข้าข่ายผิดกฎหมายเลยนะสิ โดนกันถ้วนหน้า",neu
neg,เหมือนซื้อหมูมา คนขายบอกให้เอาไปทอดไข่เจียวหมูสับ อยากใส่ผักเพิ่มไปก็ไม่ได้ เดี๋ยวจะโดนจับสรุปเราเป็นเจ้าของหมูไหม ทั้งๆที่เราก็ชื้อหมูมา ??,neu
neu,ไม่เหมือนกันครับ เกมที่เราซื้อมาคือซื้อสิทธิ์ในการเล่น เข้าใช้บริการครับ ถ้าอยากดัดแปลง แก้ไข ต่อเติม ต้องซื้อลิขสิทธิ์เกมครับ ไม่งั้นก็ take over ทั้งบริษัทเกม,neu
neu,เทียบไม่ได้ครับ สิทธิ์คนละแบบกัน เราไม่ใช่เจ้าของเกม เราแค่มีสิทธิ์ที่จะเล่น,neu
neu,คุณซื้อรถมาแล้วเอาไปดัดแปลงผิดกฎหมาย ถ้าตำรวจไม่เห็นคุณก็ยังไม่โดนจับครับ แต่ถ้าคุณเอาไปทะลึ่งวิ่งบนถนนจะโดนจับก็ไม่แปลก?,neg
neu,จริงๆน่าจะออกกฏแบบนี้มาเพื่อจะจัดการกับพวกตัวโกงเกมใน multiplayer มากกว่า แล้วค่อยมาฟ้องรายเคสเอา แต่ถ้าเล่นหว่านแหเหมาทั้งหมดแบบนี้ ก็น่าจะไม่ค่อยมีใครอยาก mod กันหล่ะนะ,neg
neu,ความตั้งใจแรก น่าจะเป็นกฎไว้ใช้จัดการกับ Mod H ทั้งหลายหรือเปล่านะ?,neu
neu,"ผมว่าทำกันพวก Game Genie, Game Shark หรือ ตลับเล่น rom มากกว่านะครับ เพราะใช้คำว่า Console",neu
neu,ญี่ปุ่นประกาศ แต่คน Hack Save อยู่แผ่นดินใหญ่โน่น,neu
neu,แสดงว่า mod เครื่องเกมให้ลง linux ก็ไม่ผิด แต่ถ้าทำเพื่อโกงเกมก็ผิด?,neg
neu,พอจะมีกรณีให้ศึกษามั้ยครับ ว่าเพราะอะไรจึงควรให้การแก้ไขเนื้อหาเป็นสิ่งมีกฎหมาย,neu
pos,"สเปกเครื่องใช้ซีพียู Intel Core i7-8500Y, ใส่แรมได้สูงสุด 16GB LPDDR3, สตอเรจสูงสุด 512GB PCIe SSD, แบตเตอรี่อยู่ได้นาน 10 ชั่วโมง, มีพอร์ต USB-C พร้อม Thunbderbolt 3 ให้ 2 พอร์ต, ตัวสแกนลายนิ้วมือที่ปุ่มเปิดเครื่อง ราคาเริ่มต้นที่ 1,699 ดอลลาร์ (ประมาณ 55,000 บาท) ของเริ่มขายประมาณเดือนเมษายน",neg
neu,สงสัยว่าทำไมให้ Thunbderbolt 3 หว่า,neu
neu,External GPU!!!!!,neu
neg,จะงอมั่ยเนี่ย บางขนาดนี้,neg
pos,อยากได้.....,pos
pos,น่าสนใจมาก.,neu
pos,บางขนาดนี้ เลย,neg
pos,โหหหหห ต้องจัดแล้วมั้งง Acer ตัวแรกในชีวิต,neu
pos,ใกล้จะเบากว่าไอแพดแล้วนะเนี่ย ไอแพดก็จะใหญ่ และหนักขึ้นเรื่อยๆ สวนทางกัน 555,neg
neg,น่าจะมี USB-C สองรู อย่างงี้ passthrough charging มันก็ไปได้แค่ USB type A เอง,neg
neu,ถูกจัง Xiaomi shop ที่จีน นี่ตัวละลายทรัพย์ชัดๆ ไปทีไรหมดหลายพัน 555 ได้ Wireless charger มาราคา 69 Yuan ~ 300 บาท ใช้ดีมากๆ กับ Iphone 8+ รองรับ Qi เครื่องไม่ร้อนเหมือนพวกยี่ห้ออื่นๆใน Lazada ไม่ต้องซื้อ Belkin อันละ 1400 นี่กลับไปจีนอีกรอบ จะไปซื้อ มาอีกอัน เอามาวางไว้ในรถ และพวกสาย USB ต่างๆ แม้กระทั่ง แปรงสีฟัน เพื่อบอกซื้อมาแล้วใช้ดี,neg
neu,รุ่นไหนครับ น่าสนใจ แต่สงสัยไฟมันออกน้อยเปล่าครับถึงไม่ร้อน,neu
pos,ถูกและดีมีจริงสินะ รักจริงๆเลย Xiaomi,pos
pos,ถูกมาก!! แต่เสียดายมี USB-C แค่พอร์ตเดียว,pos
neu,xiaomi ก็ออก power bank ตัว PD มานานแล้วไม่ใช่หรอครับ Xiaomi ZMI ตัวนี้เอง ก็เป็น PD เหมือนกัน และมีมาสักพักนึงแล้ว เห็นในข่าวบอกปล่อยให้ค่ายอื่นขายมานาน หรือ ผมเข้าใจอะไรผิด,neu
pos,Powerbank ของ Xiaomi นี่ของดีจริงๆ ใช้มาตั้งแต่ Gen แรก ยัน Gen 2 20000 mAh หน้าตาแบบนี้แหละแต่เป็นสีขาว ใช้ดี ความจุมาเต็ม fast charge ก็ได้ทั้งเข้าทั้งออก ไม่เคยงอแง แล้วใช้ง่ายด้วย ไม่ต้องเปิดเครื่อง เสียบแล้วติดทันที เคยใช้ยี่ห้อดังยอดนิยมที่เป็นยี่ห้อจีนเหมือนกัน รู้สึกมันจุกจิกกว่ามาก ว่าแต่ passthrough charging ของ Gen 2 มันเหมือนกันรึเปล่าครับ ผมทำบ่อยนะเวลามีอแดพเตอร์ตัวเดียว ต่อชาร์จให้ powerbank แล้วก็ต่อชาร์จจาก powerbank กับมือถืออีกทีนึง (จริงๆ พ่วง gopro ไปอีกช่องนึงก็ได้) ตื่นขึ้นมาแบตเต็มทุกตัวพร้อมลุย ด้วยอแดพเตอร์ตัวเดียว มีประโยชน์โดยเฉพาะบางโรงแรมที่งกช่องปลั๊ก,pos
neu,ไม่ต้องซื้อ apple tv แล้ววววววววววว,neu
pos,เยี่ยมเลย,pos
neu,เงิบเลยทีเดียว,pos
neu,ใจจริงอยากให้ทำลงมือถือด้วยนะ หนังใน Google Play Movie ขายแพงเกิน แถมยังแยก SD กับ HD อีก ถ้า Apple ทำมาลง เชื่อว่ามีโอกาสแย่งตลาดจากกูเกิลในส่วนนี้ได้ด้วย,neu
neu,ไม่ใช่ 1 เมษายน ใช่มั้ย,neu
neu,SS รุ่นใหม่ๆ เขามี Chormecast ในตัวยังครับ เพราะเครื่องที่ผมใช้มัน Stream ได้แต่เหมือนจะไม่ใช้ Chormecast,neu
pos,จบ ทีวีเครื่องต่อไป Samsung ละกัน,pos
neu,ผมนี่รอประกาศ​ note iOS edition เลยครับ,neu
neu,TV เครื่องต่อไปก็ Sony เหมือนเดิม #เข็ด,neg
neu,นึกว่าจะเก็บ 4K เป็น exclusive ให้ apple tv แต่ดูแล้วดีลนี้น่าจะหลายอยู่ถึงได้ปล่อยให้ขนาดนี้,neu
neu,จะเลิกขาย AppleTV มั้ยนะ,neu
neg,AppleTV ขายทิ้งเลย แบบนี้,neg
neu,จริงอย่างที่เขาลือ apple เริ่มรู้สึกตัวแล้วว่า iPhone ไม่สามารถเป็นแหล่งรายได้ที่มั่นคงได้ ดูจากปีที่ผ่านมาตลาดเริ่มอิ่มตัว ยอดขายลด จนต้องดันราคาเพิ่มเพื่อการันตีกำไร สุดท้ายแล้ว service ต่างหากที่ยั่งยืน Microsoft นี่อ่านเกมขาดจริง ๆ,neu
pos,พร้อมช่องเฮดโฟน,neu
neu,Intel มันยังไม่หลุดพ้นจากการทำโรงงานเอง มีสิทธิ์เจ๊งสูง เพราะจะผลิต 14nm ลงไป ลงทุนหนักมาก,neg
neg,นึกว่าจะใช้ 7nm เป็น 28nm ตัวเก่านี่,neg
neu,ราคาถูกสำคัญสุด สำหรับตลาดนี้,neu
neg,เคยมีคนเอา Chromebook เข้ามาขายในประเทศไทยแว๊บๆ(จำไม่ได้ค่ายไหน) แต่ตอนนี้ก็เห็นเงียบๆ ไป ไม่รู้ว่า เป็นยังไงบ้าง? ส่วนรู้สึกว่า มันไม่ได้ทำการตลาดอย่างเท่าที่ควรอ่ะ ผมยังเห็นโฆษณาไม่ถึง 5 ครั้งด้วยซ้ำไปนะ,neg
pos,นี่บริษัทมือถือหรือซอมบี้ครับ อึดมาก,neu
neu,น่าเสียดายไม่น่าเอายุทธศาสตร์ Apple มาใช้เลยตั้งราคาแพงเว่อร์ฟังค์ชั่นเท่ากับเครื่องอื่น ไม่ยอมทำรุ่นล่างราคาคุ้มๆออกมาขาย,neu
neg,เรือธง สเปคธงเรือ ก็กินเกลือไปครับ,neg
neg,แพง,neg
neu,นึกถึงสมัย Windows Mobile htc นี่หรูมากใครใช้,neg
pos,นี่แหละคือ android fragmentation หลายปีก่อน มีศาสดาคนนึงพยายามจี้ว่า นี่คือจุดอ่อนของแอนดรอย์ด์ แต่ผมเถียงหัวชนฝา ว่านี่คือความหลากหลายแห่งนวัตกรรม ที่ผ่านการคัดเลือกบนฐานผู้ใช้งานจริง สิ่งนี้จะช่วยผลักดันให้แอนดรอยด์สามารถพัฒนาไปข้างหน้าแบบก้าวกระโดด จนแซงหน้าคู่แขงได้,pos
neu,หลากหลายให้เลือกสรร มากมายจนแยกความแตกต่างไม่ออก ตัวเลขก็ไม่สามารถวัดคุณภาพได้จริง,neu
pos,Xiaomi ตอนแรกก็ไม่กล้าใช้ พอใช้แล้วติดเลยได้พ่วง Ecosystem มาอีก,neu
neu,อุปกรณ์ใหม่ๆเป็น 8.1 ซะเยอะ,neu
neg,บางตัวบอกให้รอ unlock 360 ชั่วโมงก็มี บางตัวออก distro เป็นของตัวเองแล้วแพก็มี บางตัวออกมาแล้ว pair กับอุปกรณ์ของค่ายตัวเองไม่ได้ก็มี โดนกับตัว ประทับใจมากเลยครับ ถ้าไม่ติดว่าจนคงไป iPhone นานแล้ว,neg
neg,ใส่มาแบบนี้เพื่อให้ เครมเครื่องไม่ได้ว่างั้น,neg
neg,ถ้าเกิดผมซื้อใช้นะไม่ว่าจะชี้แจงอะไรสุดท้ายเครื่องงอก็คือเรื่องจริง มาตฐานห่วยถ้าเปลี่ยนหรือคืนเงินไม่ได้ ก็จบกัน 555,neg
neg,คดในข้อ งอในบอดี้,neu
neg,"ก็ไม่อธิบายเรื่อง ""ใช้แล้วงอ"" อยู่ดี",neg
neg,ไม่นึกว่าจะออกมาในรูปแบบนี้อึ้งนิดๆ แต่ไม่แปลกใจขนาดยี่ห้อ H (เคสหน่วยความจำ) ยังทำได้....อุฟ,neg
pos,เราใกล้จะได้คุยกับรถแบบอาซึราดะแล้วสินะ,pos
pos,ชอบตรงที่หน้าปัดมีจอบอกแผนที่ด้วย,neu
neu,หวังว่ามันจะอยู่แค่ในส่วน Infotainment นะครับ :),neu
neu,มันลงfacebook line ได้มั้ยครับ ถ้าได้นี่ไม่น่าเหมาะกับตลาดเมืองไทยอย่างยิ่งเลยครับ,neu
neu,เหมือนจะไม่มี autopilot ใช่ไหมครับ รถคันถัดไปอยากให้มันขับเองได้มากกว่า,neu
neg,เคราะห์ซ้ำกรรมซัดรุ่นใหม่ก็ขายไม่ออก รุ่นเก่าก็โดนห้ามขาย,neg
neg,เดาว่า iPhone รุ่นต่อไปราคาน่าจะแพงเพิ่มขึ้นอีก เพื่อชดเชยขาดทุนรอบนี้ ทั้งจีน ทั้งเยอรมัน,neu
neg,หรือนี่จะเป็นแผนของ Apple ให้คนจ่ายเงินซื้อ XR มากขึ้น,neu
neu,เอเปิล ได้ช่องทาง พอดี ไม่ต้องขายรุ่นเก่าแล้ว ดัน ขายรุ่น ใหม่ให้หมด,neu
neg,บริษัทใหญ่ขนาดนี้ทำไมต้องลอกคนอื่นด้วย ถึงไม่ได้ลอกแต่ไม่ได้เช็คสิทธิบัตรในตลาดเลยหรอ,neg
neu,สั่นแรงไหม มีสายดึงออกไหม,neu
neu,ดีไซน์คุ้นมากๆ,neu
neu,เมื่อไหร่จะมีคนทำแบบที่ใช้ความร้อนต้มน้ำทำกาแฟได้ น่าจะดีมิใช่น้อย,neu
neu,ตัวนี้กรองอากาศขนาดห้องสูงสุดกี่ ตร.ม. ครับ?,neu
neu,บอกว่ายืมเพื่อน .. ก็ไม่น่ารอด,neg
neu,กูรูไอทีหายไปไหนกันหมด นี่รอเหยียบอยู่เลยเนี่ย สงสัยหนังเรื่องนี้บทเหมือนเรื่องก่อนหน้ามากเกินไป แม้แต่แถ ลงการณ์ยังเหมือน และเก่งเลี่ยงภาษีขนาด Eric Schmidt บอกงง Google เลี่ยงภาษีตรงไหน? เลยทีเดียว,neu
neu,ถ้ามี่ย้ายไปส่วนน้อยแล้วย้ายไปทำไมล่ะครับ?,neu
neg,บกพร่องโดยสุจริต😅,neu
neu,ก็​เป็น​วิธี​หา​เงิน​เข้า​ประเทศ​วิธี​นึง​ล่ะ​นะ​ครับ​,neu
pos,ดูเจ๋งเลย,neu
pos,Wow เลย ตรงส่วนที่โดนพับตอนกางออกก็ดูเนียนดี,pos
pos,Flexible LED screen.... Mindbrown.,pos
pos,สวยอยู่,pos
pos,สิ่งที่ต้องการคือ ขอบบางพอดี ออกแบบสวย ลำโพงคู่หน้า กล้องดี ทัชดี แค่นั้น,pos
neg,จอภาพเต็มบาน นี่เค้าสำรวจแล้วจริงๆ หรอว่าผู้บริโภคต้องการแบบนี้?,neg
neg,ขอบล่างหนาอยู่เลย,neu
neu,ถ้าให้ขอบบนหนาเท่ากับขอบล่างโดยไม่ต้องมีไฝนี่จะแจ่มมาก หลือแค่ SONY ละนะที่ยังไม่ติ่ง ไม่ไฝ,neu
neu,แม้บัญชีดังกล่าวจะถูกลบอย่างรวดเร็ว => แม้ทวีตดังกล่าวจะถูกลบอย่างรวดเร็ว,neu
neg,Twitter นี่ทำโป๊ะแตกมาหลายรายละ,neg
neu,ผลัดกันกับตอน AppleMusic แต่อันนั้นยังพอแถได้ว่า Android ก็มี Apple Music รึเปล่า,neu
neu,ที่ขึ้นสถานะว่า Twitter for iPhone ทำยังไงครับอยากลองทำบ้างจัง,neu
neu,Fuchsia อ่านว่าอย่างไร และมีคำแปลไหมครับ,neu
neu,86_64 arm64 แลปว่า กินรวบทั้ง mobile และ desktop สิเนี่ย,neu
neu,ขอ playstore ตามมาแล้วกัน จะได้ไม่ต้องซื้อใหม่,neu
neu,รอดูว่าจะมียี่ห้อไหนบังคับใช้สายกับที่ชาร์จเฉพาะของตัวเองเป็นเจ้าแรก,neu
neu,จนวินาทีผมยังงงกับสาย USB-C ของแอปเปิ้ลอยู่เลย สรุปว่ามันแท้ ไม่แท้? ใช้ได้หรือไม่ได้?,neu
neg,ถ้าอนาคตตัวมือถือเก็บ Log ไฟล์ว่าคนซื้อใช้สายที่ได้รับรองหรือไม่ ถ้าไม่ ประกันขาด,neu
neg,ดูแว้บแรก เหมือนจินตนาการว่าทรงจะพากันไปทาง authentic cable / branded only ยังไงไม่ทราบได้ สายมาตรฐานมีหลายเจ้าอาจจะสุ่มเสี่ยงโดนกีดกันได้นะ แล้วก็จะเข้าลูปเดียวกับ apple ที่ว่าสายแท้ (ผลิตที่ minimum quality แต่ signed) พร้อมพังอายุ 3-6 เดือน เส้นละ 8 ร้อย ส่วนสายไม่แท้ (ที่ใช้สายคุณภาพดีกว่า ผลิตตามมาตรฐาน ต้องได้จ่ายส่วนแบ่งค่า sign and allow ให้กับเจ้าของค่ายมือถือ เพื่อให้ได้รับการ certified บน device นั้น เพื่อไม่ให้ขาดประกัน)..... โมเดลสายนี่โอเพ่น แต่มูฟเม้นนี่คือ ไปทางปิดสุดส่วนตัวมองว่าควรจบที่เช็คได้ครบหมดว่าผ่านทุกฟังก์ชันนั่นล่ะนะ แต่ถึงขั้น signed brand ด้วยนี่น่ากลัวไปนิด,neg
neg,แล้วสายแท้ที่ออกขายไปก่อนนี้ล่ะจะทำไง,neg
pos,ดีเลย ต่อไปนี้ใครจะ login เข้า remote desktop ของ office จะต้องขอ pin จาก sms ก่อน กันคนคิดไม่เซื่อ,pos
neu,ต้องต่อเน็ทด้วยสินะ,neu
neu,แล้วเวลาเปิด share folder ผ่าน SMB ด้วย account ที่เป็นประเภทนี้ มันจะ authen ยังไงหว่า,neu
pos,ดีอยุ่นะ,neu
neg,มันมีกรณีที่มิจฉาชีพแอบ copy ซิมเพราะงั้น ถ้าบ้านเราจะเอามาใช้ คงต้องคิดหนักหน่อยคงค้องใช้ร่วมกับ ลายนิ้วมือ รหัสอื่นๆ,neg
pos,อยู่ที่ Chrome แหละว่าจะเลิก support เมื่อไร,neu
neu,คอมใช้xpสเปคคงเก่าน่าดู,neu
pos,ไม่เห็นเป็นไร คอมมีหลายเครื่อง เล่นเกมก็อีกเครื่องนึง,neg
neu,ทำที่หนีบขาย ก็รวยแล้วครับ ถ้ามันมีคนใช้เยอะนะ,neu
neu,อยากเห็นดีเทลเพิ่ม ถ้าไม่ได้วางโต๊ะชิดผนัง หรือ ขอบโต๊ะหนาๆจะติดได้ไหม. แล้วผมว่าถอยไปแบบนั้น. มันจะห่างไปไหม ต้องโน้มตัวไปมองอีกรึเปล่า,neg
neu,หนีบขอบโต๊ะได้ในตัว ทำเอาผมคิดไปเรื่องอื่นแฮะ,neu
pos,32:9 นี่รอคอยมานานเลยฮับ เพราะ 21:9 นี่มันครึ่งๆ กลางๆ ยังไงก็ไม่รู้ ต่อไปก็เล่นในอัตรา 64:9 โดยต่อเพียงแค่ 2 จอเท่านั้น สบายเลยทีนี้,pos
neu,อยากได้แต่ตัวหนีบ มาหนีบ SP,neu
neu,speak quietly พรฮับ,neu
neu,แล้วมันต่างจาก whisper mode ของ alexa ยังไงหว่า,neu
neu,ในฐานะคนที่ไม่รู้เรื่องพวกสิทธิบัตร คือจดแบบนี้แล้วคนอื่นห้ามทำตามเหรอครับ? คืออันนี้มันปกติมากเลยนะครับ,neu
pos,พลิกโลกเลยนะเนีย ตรวจสอบและจัดการข้อมูลได้เองแม้จะโดนเก็บไปแล้ว,pos
neu,จะเป็นพระเอกรึป่าวมารอดู,neu
neu,ยากตรงการพิสูจน์ตัวตนเพื่อกำหนดสิทธิ์เข้าถึงข้อมูลล่ะมั๊ง,pos
pos,จัดการได้ก็ดีแต่ถ้าโดนผู้ไม่ประสงค์ดีเข้าถึงได้ก็คงจะแย่เพราะข้อมูลไปรวมอยู่ที่เดียวได้ไปทั้งหมด,neg
neg,สงสัยไปเจรจาเรื่องการขาย และรับมือบริษัทจีนที่พร้อมใจกันออกมาตราการคว่ำบาตร iPhone แต่ก็มีโอกาสโดนควบคุมตัวอยู่ ตอนนี้พี่จีนก็ควบคุมตัวชาวแคนาดาไป 2 คนแล้ว,neg
neg,ถ้าโดนควบคุมตัวจริง apple คงถอนการลงทุนจากจีนล่ะนะ,neu
neg,ถ้า Apple ถอนตัวจากจีน จีนก็ผลักดันแบรนด์จีนต่อไป เผลอ ๆ ไม่เดือดร้อนอะไรกับการที่ Iphone ไม่มีขายในจีนก็ได้,neu
neu,"สมชื่อครับ SW. Blur , Dev. Blur",neu
neu,ปีใหม่สังสรรค์หนักไปหน่อย ยังเบลอๆอยู่,neu
neu,แบบนี้เรียกโดนแฮ็กแบบตอนทรุยหรือเปล่า อิอิ,neu
neu,รูปนี่ mega facepalm เลยทีเดียว สงสัยว่าทีมงานไม่ได้ใช้ฟีเจอร์ใหม่ของแอมะโซนหรือ?,neu
neu,โห ใช้เจ้านี้อยู่พอดี เซ็ง - -,neu
neu,ผมใช้ Outlook อ่ะครับ ค่อนข้างเร็ว แต่ผมใช้วิธีแยก folder ออก เป็น ปี และ Sub folder ในแต่ละเดือนครับ ของปีนั้นครับ เช่น -2018 - Jan 2018 - Feb 2018 - Dec 2018 ทำแบบนี้ทุกเดือน เมล์ในแต่ละ folder ก็จะไม่ช้าครับ โดยที่พวกนั้นจะอยู่ใน Local folder ไปครับ พวกที่จะต้องใช้บ่อย ๆ หรือพวกเมล์ล่าสุด ก็จะอยู่บน server ครับ ซึ่งจะทำให้การค้นหาเมล์ต่าง ๆ ทำได้เร็วขึ้นและลดโอกาส mailbox เสียได้ด้วยครับ,neu
neu,ผมติด Spark Email Client ไปแล้ว,neu
neg,Thunderbird เนี่ย พอเมลเยอะๆแล้วรู้สึกมันอืดจนหงุดหงิด ลองอยู่หลายเวอชั่น จนสุดท้ายต้องเลิกใช้หวังว่าจะแก้ตรงนี้ด้วยนะ,neu
neg,สนับสนุน Thunderbird เพราะฟรี แต่ทำ Exchange sync มาหน่อยเถ๊อะ ทุกวันนี้ต้องพึ่ง extension อย่างเดียวเลย,neg
neu,ขอให้ออกมาลื่นปื๊ดเหมือน Firefox เน้อ ชอบ Quantum มาก,neu
pos,เรียกว่าแตกแบรนด์ย่อยออกมาปั๊บก็มีซีรี่ส์โทรศัพท์ในมือหลายตัวเลย,neu
neu,อารมณ์เหมือน honor แต่เสียวหมีมันก็มีโปเกโฟนอยู่แล้วยังจะแยกอีก เดี๋ยวอีกหน่อยจะมีแบรน mixmax อีกไหมนะ,neu
neu,อ้าว Redmi นี่ไม่ใช่ของ Oppo รึ,neu
neu,ทำมัยถึงต้องออก แบรนด์ลูก มันมีผลดียังไงครับ,neu
neu,อ่านแต่หัวทีแรกตกใจนึกว่าจะออกกล้องหลัง 48ตัว 555 ผมว่าการแตกแบรนด์รูป​แบบนี้เป็นเหตุผลทางบัญชี​เพื่อให้บริษัทแม่​มีผลประกอบการและอัตราส่วนทางการเงินที่ดีขึ้น​จากการเอาผลิตภัณฑ์​ที่มีมาร์จินต่ำออกไปอยู๋​กับลูกส่วนตัวแม่ก็เก็บของที่มาร์จินสูงเอาไว้ หรืออาจเพื่อกระจาย คชจ.ส่วนที่ไม่ต้องการออกไปเป็นเทคนิคโบราณ​ของบริษัทในตลาดหลักทรัพย์​ที่ยังใช้ได้ดีอยู่​,neg
neu,ตัวก่อนมันติด Adobe Flash จ้า,neu
pos,ความนิยมา --> ความนิยมมา,pos
neu,ตัวภาษารองรัการ --> ตัวภาษารองรับการ,neu
neu,max m2 snap632 ram 3gb แค่ 4990 เอง,neg
neg,ติ่งนี่มันเป็น trend ใช่ใหม เห็น iphone มีได้เลยมีกันมั่ง ผู้บริโภคไม่ชอบบบ,neg
neg,ขัดๆ ตายังไงไม่รุ้ตรงติ่ง,neu
pos,มาพร้อแบตเตอรี่ --> มาพร้อมแบตเตอรี่,pos
neg,เปิดราคานี้ไม่รู้จะรอดรึป่าว เพราะราคา6xxxตอนนี้ ได้ถึงสแนป660เข้าไปแล้ว นี่450 ถ้าเกิน5000ก็น่าจะขายลำบาก แต่ถ้า4990น่าจะทุบ A3S/C1 ใส้แตก,neg
neg,ถ้าโดนแฮกchromecast เค้าจะเข้ามาทำอะไรได้บ้างครับ​ กรณี​ร้ายๆ,neu
neu,อย่างนี้แฮกเข้ามาแล้วส่งข้อความหาเสียงได้หรือเปล่า,neu
neg,และ PewDiePie บอกไม่ขอรับรู้เพราะไม่ได้ทำ (แต่กรูได้ประโยชน์),neg
neu,"""Google บอกว่าผู้ใช้งาน Chromecast สามารถตั้งค่าความปลอดภัยที่ router "" ตั้งยังไงครับที่ router ใครมีความรู้แนะนำที",neu
neg,ตะกี้ลองเปิดดูมันอัพเดต ไม่รู้แก้ช่องโหว่นี้รึป่าว,neg
neg,นึกว่าตายไปแล้ว Moto,neg
neg,ตอน Z3 Play คนด่ากันเยอะเรื่องตัดช่องเสียบหูฟังล่ะมั้งเนี่ย...,pos
neg,"ยี่ห้ออื่นเขาเพิ่มกล้องหลัง แต่โมโตดันลด -_-""",neg
neg,ไม่ครบและไม่จบเธอเลยมีสิทธิจบชีวิต z,neg
pos,น่าสนใจ,neu
neg,Surface Pro ไม่มาพร้อมปากกา ทำตัวเป็น iPad Pro ไปได้,neu
neu,ทำเอา อัลตร้าบุ๊คยี่ห้ออื่นถูกไปเลย ปล.ไมโครซอฟท์นี่หลังๆอัพราคาทุกปีเลยแหะ,neu
neu,รอ book 3 จะมีไหมปีนี้ ฮ่า ๆ,neu
neu,"จัด SL gen1 แรกไปเมือสามเดือนที่แล้ว ส่วนลด 5,000 มั้ง Zero regret.",neu
pos,รอมานาน,pos
neu,รอหัวเหว่ยทำระบบไร้สายเชื่อมต่อสมองอยู่นะครับ,neu
